epoch,iteration,elpased_time
0,1,3.1189610958099365
0,2,1.88881516456604
0,3,2.0570075511932373
0,4,2.0265071392059326
0,5,1.8873817920684814
0,6,2.085238456726074
0,7,2.5978994369506836
0,8,1.933133602142334
0,9,1.932572364807129
0,10,2.0880753993988037
0,11,1.8863062858581543
0,12,2.073026418685913
0,13,2.0045793056488037
0,14,1.9718527793884277
0,15,1.9259536266326904
0,16,2.032189130783081
0,17,1.9462130069732666
0,18,2.0095767974853516
0,19,1.875880241394043
0,20,2.1011481285095215
0,21,1.9754083156585693
0,22,1.9761548042297363
0,23,2.040020704269409
0,24,2.111290216445923
0,25,1.8899118900299072
0,26,2.2380576133728027
0,27,2.4089086055755615
0,28,1.9503114223480225
0,29,2.0809919834136963
0,30,2.0398340225219727
0,31,1.8906512260437012
0,32,2.208458423614502
0,33,1.8328874111175537
0,34,1.835028886795044
0,35,1.9311673641204834
0,36,1.9203591346740723
0,37,2.060242176055908
0,38,2.1430981159210205
0,39,1.8800277709960938
0,40,2.2813632488250732
