epoch,iteration,elpased_time
0,1,5.941910028457642
0,2,4.436827659606934
0,3,4.143742799758911
0,4,4.1653687953948975
0,5,4.300881862640381
0,6,4.542418479919434
0,7,4.514479875564575
0,8,4.491865158081055
0,9,4.186138868331909
0,10,4.388061285018921
0,11,4.119189977645874
0,12,4.191723108291626
0,13,4.406724452972412
0,14,4.535101413726807
0,15,4.4219465255737305
0,16,4.206809759140015
0,17,4.281452894210815
0,18,4.298982620239258
0,19,4.357220411300659
0,20,4.495110988616943
0,21,4.204145669937134
0,22,4.041586875915527
0,23,4.235096216201782
0,24,4.434970140457153
0,25,4.4464616775512695
0,26,4.276814699172974
0,27,4.29671049118042
0,28,3.9452054500579834
0,29,4.129798650741577
0,30,4.214266300201416
0,31,4.077288389205933
0,32,4.360836982727051
0,33,4.3998024463653564
0,34,4.520932912826538
0,35,4.100688457489014
0,36,4.345323324203491
0,37,4.270101070404053
0,38,4.402491092681885
0,39,4.518534421920776
0,40,4.305486679077148
